school_ID,school_name,n_test_takers,mean_writing_score,offset1,mean_reading_score,offset2,mean_math_score
73H220,Tianjin Polytechnic University,46,428,7,440,24,471
07Q361,University of Lusaka,14,364,-23,349,-17,350
94Y278,Albright College,627,379,7,393,7,405
19J302,Universidad Católica Andres Bello,50,449,-5,449,29,491
05A850,University of the Visual & Performing Arts,105,304,10,324,-18,305
32Z109,Chongqing Normal University,125,371,-19,360,1,377
52S216,Makanlal Chutur Vedi University,16,482,16,501,1,507
77C371,Shokei College,71,387,6,400,4,409
65B012,University of Waterloo,60,365,-14,359,17,390
30L090,Universidad Estatal a Distancia,50,229,-10,232,24,261
02F508,Mansfield University of Pennsylvania,50,370,-1,377,-16,368
07F813,King's College,81,455,-28,431,29,485
54S195,Karnataka State Law University,641,403,13,422,22,446
85J381,Beijing University of Chinese Medicine and Pharmacology,31,460,-6,458,44,517
23I241,University of Siena,10,382,-2,387,4,399
26B085,Universidad Agroforestal Fernando A.Meriño,212,421,-21,406,11,436
83F908,Vikram University,29,435,-13,427,16,460
78C058,Universidad de Los Andes,50,463,13,480,-24,461
40C984,DeSales University,32,395,-17,385,13,415
71S305,Ho Chi Minh City University of Foreign Languages and Information Technology,46,371,4,383,-23,365
45R167,University of Islamic Studies,50,465,-14,455,-28,446
48J502,Mazandaran University of Medical Science,397,443,6,454,36,497
59Q897,Kirchliche Hochschule Bethel,60,359,-5,362,-54,317
50U315,Lycoming College,32,392,-7,392,33,437
47A179,Southeast University,16,476,-1,479,-20,471
55P666,Universidade Estadual do Maranhão,71,383,-15,375,-19,371
48I260,Hanoi University of Civil Engineering,46,427,9,441,-10,437
59F261,Franklin Pierce Law Center,50,430,-11,424,-9,431
95J177,Concordia University,130,383,8,398,-2,400
05B757,State University of New York College at Fredonia,31,455,4,463,34,507
12I821,Universidade Federal de Mato Grosso,15,329,13,351,-22,328
70Q284,Pacific Graduate School of Psychology,24,452,-7,450,-27,437
13A527,Tohoku Institute of Technology,22,347,2,357,7,369
85A394,All India Institute of Medical Sciences,52,409,-7,408,-2,418
33J898,Knox College,192,451,-8,448,21,483
41W251,Cranfield University,22,413,12,431,-8,427
16A692,Universidad Particular de Chiclayo,24,462,-10,456,15,488
35Y496,"Institute of Teachers Education, Sultan Abdul Halim",104,368,7,383,-23,363
58T916,Justus Liebig Universität Gießen,44,405,18,429,-33,396
22P357,"Heythrop College, University of London",24,463,-19,448,-17,452
49N156,Prague Institute of Chemical Technology,50,262,36,310,-7,287
76X762,Lycoming College,22,375,8,390,4,397
60O585,Universidad de Hermosillo,68,399,4,410,-31,385
15X244,Universidad Juárez del Estado de Durango,105,467,-7,464,45,524
81C279,Linton University College,92,371,3,382,38,425
75N256,East Kazakstan State Technical University,192,406,1,413,2,423
96J905,Jadara University,24,447,9,461,30,498
15X965,Medaille College,54,402,23,431,18,446
46G699,Universidad Bellas Artes,54,381,-1,387,-2,393
83W892,Ajman University of Science & Technology,10,290,19,320,-39,275
30L168,Technical University of Czestochowa,32,269,22,302,6,299
86H660,Brandenburgische Technische Universität Cottbus,53,467,-8,463,-5,474
32Q148,Universidad Lasallista Benavente,105,410,9,425,-37,392
97G960,Tianjin Open University,19,474,6,484,-12,481
29E677,Norwegian School of Management BI,10,483,5,491,26,528
91O142,University of Pavia,641,403,-15,394,7,417
40O325,Ecole Nationale Supérieure d'Agronomie de Montpellier,15,481,11,495,53,556
83J069,Universidad del Salvador,641,279,-11,279,4,291
98W640,University of Sharjah,60,315,10,335,-66,269
91K880,Satakunta University Of Applied Scinces,68,433,-10,428,-17,426
11D322,National Hualien Teachers College,1047,495,-9,489,-2,505
03A739,Cyprus International Institute of Management (CIIM),192,347,3,358,56,418
87M558,University of St. Jerome's College,32,384,7,398,18,421
64S063,Universidad Autónoma del Carmen,67,396,-22,381,-63,337
71H315,Université Sorbonne-Nouvelle (Paris III),52,383,-20,370,-19,368
13Y865,University of Cyprus,130,386,7,400,-13,392
16X010,Universitas Negeri Semarang,40,505,-1,507,61,582
62O437,Royal Military Academy,57,365,13,386,-48,338
12G599,Hyogo College of Medicine,68,381,8,396,2,402
53T286,Southern California Institute of Architecture,60,356,8,372,26,401
05F045,"Synergy University, Dubai Campus",75,447,-14,438,-57,398
84Q445,Mokwon University Taejon,50,394,5,406,-27,385
70J251,Misan University,22,450,8,463,-11,459
22Z502,University of Portland,67,347,-12,343,2,357
89R967,Université des Sciences et Technologies de Lille (Lille I),1047,326,-13,322,1,335
69K680,Saitama Prefectural University,136,392,4,403,-30,379
02B096,Atlantic International University,116,449,24,478,2,479
55Y641,"Sofia University ""St. Kliment Ohridski""",19,278,27,316,20,326
43A069,Universidad Católica de Santa Fé,16,513,-9,506,-58,466
20T106,Osaka University of Health and Sport Sciences,104,398,-1,404,-3,410
71Z695,Utah Valley State College,50,360,24,392,-15,372
47B780,Centre Universitaire d'Oum El Bouaghi,10,548,-3,546,-9,554
43H163,Yaba College of Technology,15,371,-4,375,-12,372
91N444,Central Baptist College,22,409,8,423,20,448
44S497,Ningbo University of Technology,686,476,-5,475,-9,480
01W967,Al-Bukhari International University,63,499,-14,488,31,539
08X549,Necmettin Erbakan University,22,486,-1,488,-49,453
74Z346,University of Rochester,10,419,6,431,-54,384
95T701,Harbin Engineering University,50,375,6,388,30,422
29J772,Fine Arts Academy Wladyslaw Strzeminski in Lodz,22,456,6,466,49,524
94V176,Thainguyen University of Agriculture and Forestry,343,452,-2,455,-6,461
91H693,Marylhurst University,13,361,6,375,0,379
20H946,Malaysia University of Science and Technology (MUST),192,506,5,513,57,581
30I163,Catholic Theological Union,63,371,-5,374,6,389
46X070,Vali-e-Asr University,71,444,-6,443,-31,425
97T418,Crichton College,48,366,0,374,26,407
65H044,Nanjing University of Traditional Chinese Medicine,49,567,-8,559,-21,559
29P695,Universiti Malaysia Kelantan,32,474,-17,461,-30,451
74T926,Kanto Gakuen University,46,400,7,413,35,453
60I329,Southeastern College of the Assemblies of God,192,341,17,367,20,385
18C459,Hungarian University of Physical Education,136,378,34,419,-8,402
66J203,American Jewish University,22,480,-3,480,-20,474
59H723,Universitas Putera Batam,50,390,12,409,-1,410
53R204,University of Pula,22,400,-4,402,25,438
68Y079,Institute of Social Studies,212,519,-7,514,23,554
33F957,Lithunian Academy of Music and Theatre,116,405,9,420,30,454
83P822,Kazan State University,121,433,-18,420,-5,434
25O475,Faculté Polytechnique de Mons,686,468,-4,468,28,510
69Z491,Universidad del Tolima,60,388,-8,387,1,400
35L980,Fachhochschule der Wirtschaft,18,306,-14,302,1,314
63S302,Rockford College,50,402,13,421,16,439
61V496,Tashkent State University of Economics,41,453,6,463,-46,426
16X793,Nagoya Institute of Technology,10,426,-21,410,26,456
54V995,Technological University (Mawlamyaing),43,388,7,402,6,413
92A317,Norwegian Teacher Academy for Studies in Religion and Education,50,421,9,436,14,455
51N929,University of Arkansas (System),103,407,2,415,-1,422
35T186,Université d'Artois,46,235,9,257,-37,216
18J845,Fachhochschule Nordhessen,103,459,-4,459,-40,433
70V854,Universidad Nacional del Centro del Perú,17,428,-29,404,22,450
25F111,"Universidad Nacional Experimental ""Francisco de Miranda""",32,427,-14,418,-61,374
32C305,Brenau University,50,469,8,481,56,545
15K753,Vladimir State University,16,379,1,387,10,404
41O539,University of Craiova,53,365,-6,367,4,381
09Y251,Halmstad University College,48,409,-26,389,5,416
09Y260,Kursk State University,90,329,4,342,-13,332
28L670,Universidad la Concordia,54,386,-3,390,-6,394
56C242,Hijiyama University,54,358,19,385,-53,329
61S081,Perm State Medical Academy,63,409,-1,414,-31,392
43N639,Seton Hill College,22,395,-15,387,20,423
36J803,Université Montesquieu (Bordeaux IV),302,254,4,270,12,282
67O377,Darul Quran Islamic College University,44,507,9,518,28,555
48U880,I.M. Sechenov Moscow Medical Academy,86,326,3,338,50,392
93L946,St. Petersburg State University of Telecommunication,60,508,18,528,60,594
68S060,National Institute of Development Administration,50,404,-7,403,-16,399
07M836,"Concordia University, River Forest",50,370,-9,369,-11,369
96K969,Andrzej Frycz Modrzewski Cracow College,75,470,-24,450,21,495
78T757,Center for Entrepreneurship and Small Business Management,42,376,-7,376,-25,362
68Z961,Ecole Nationale Supérieure d'Electrochimie et d'Electrométallurgie de Gernoble,19,373,-4,376,-14,371
83A027,Shahputra College,92,346,1,356,12,373
36W789,Bentley College,86,416,9,431,13,449
25D892,Murray State University,67,391,-6,392,49,452
32V851,Ecole des Hautes Etudes Commerciales du Nord,71,417,-15,408,27,451
39X717,Université Mohammed V - Agdal,67,392,-13,386,19,420
29G450,Southwest State University,57,430,8,443,-20,429
80B854,Universidad Católica Cardenal Raúl Silva Henríquez,343,419,14,439,-12,430
51G412,Tabor College,14,353,-3,358,-77,289
79A329,Semey State Medical University,40,418,5,429,-13,423
40P878,Meiji University of Oriental Medicine,52,363,1,372,10,388
44V186,Emory & Henry College,60,376,-14,369,29,412
72K442,Ganja State University ,63,498,23,524,-2,524
99G725,Vyatka State Pedagogical University,40,337,-5,341,-21,328
59Q059,Kabardino-Balkarian State University,686,290,11,312,-22,288
36U436,Istanbul Ticaret University,19,472,7,483,24,515
46V355,Hong Kong Baptist University,60,493,0,496,11,520
03A398,Holy Spirit University of Kaslik,60,368,-6,370,-29,351
75S853,Hawassa University,48,394,5,406,14,426
79Y052,Asian University of Bangladesh,22,345,27,381,-21,353
97O789,Planwel University,1047,358,-7,359,-20,349
48J821,Jikei University School of Medicine,50,348,16,372,52,423
53Q379,Academy of Economics in Katowice,81,514,2,518,9,540
54R869,Texas College of Osteopathic Medicine,287,465,-3,466,16,495
92V118,Kent State University - Trumbull,136,355,0,363,44,414
26D525,Pyongtaek University ,81,368,-11,365,7,384
17O497,Universität Paderborn,92,398,7,412,43,460
23Q446,Universitas Muhammadiyah Jember,302,453,-6,451,-52,414
38L711,University of Verona,68,416,0,422,13,445
74C527,College of Technology at Jeddah,32,422,-24,404,2,427
53V596,Universidad de Granma,92,344,2,355,41,400
66G899,University of South Carolina,50,330,-10,329,12,351
31Q540,Chittagong University of Engineering and Technology,31,369,11,388,21,410
23J914,Louisiana State University Health Sciences Center New Orleans,52,419,27,452,6,454
46F228,Universidad Privada del Norte,19,378,4,389,34,428
75S351,Illinois Institute of Technology,302,527,-7,522,-36,504
46I281,Jatiya Kabi Kazi Nazrul Islam University,397,358,-15,351,-24,341
73U906,Bard Graduate Center for Studies in the Decorative Arts,43,449,-5,449,-18,444
70H623,Calvin College,13,385,8,400,19,423
56V014,Yarmouk University,24,383,8,398,-1,401
06R294,Pabna University of Science and Technology,35,531,0,533,-20,528
27P767,Caldwell College,50,402,17,425,-15,410
41X876,Kyungnam University,50,351,-13,346,9,367
39U868,Oita University,35,364,7,379,22,404
08C351,Okanagan University College,42,368,-2,374,16,398
87S267,University of Sassari,48,254,33,299,-12,272
88J030,Kenyatta University,125,416,5,427,25,459
21E645,Art Institute of Southern California,10,374,11,392,-19,375
83Z203,Kabul Health Sciences Institute,212,368,-5,371,-55,325
84A233,Universidad de Valladolid,57,425,11,442,-31,415
11B610,St.Kliment Ohridski University,31,399,12,418,-13,407
78J601,"Arts, Sciences and Technology University",75,357,17,382,18,398
56W434,"Institute of Commonwealth Studies, University of London",10,397,2,406,37,450
89M226,Trent University,71,374,-3,378,20,407
99L092,Université de Batna,22,431,-12,424,19,459
94K219,Université Claude Bernard (Lyon I),32,378,-26,359,-29,350
61N350,Ibaraki University,15,459,9,472,13,492
49E013,University of Notre Dame,302,499,-5,497,-2,511
96B023,Kharkiv National University of Economics,53,395,5,407,27,440
38K916,University of the Air,17,333,3,345,13,362
27C659,Universidad Autónoma de Fresnillo,46,334,-25,318,-29,307
34Q410,Sri Sathya Sai Institute of Higher Learning,60,423,14,443,26,472
00F225,Excelsior College,10,404,-2,408,-19,399
58E014,"University of Maine, Presque Isle",67,379,-4,382,9,400
30S115,King Mongkut's University of Technology North Bangkok,22,488,-5,486,20,522
06J252,National College of Chiropractic,136,374,6,387,-2,389
57W738,University of Mkar,22,454,-8,450,-34,432
61R974,Shandong University of Science and Technology,29,379,-21,365,-58,325
84M930,Universidad Nacional Jorge Basadre Grohmann,50,348,15,371,13,383
76D737,Institut National des Postes et Télécommunications,31,373,-12,368,-8,373
68P126,Instituto de Estudios Superiores de la Sierra,54,367,11,386,-32,355
07P427,Hamilton College,302,374,8,389,-3,389
28E215,Multnomah Bible College,48,459,-11,452,-2,467
99M738,Universidad de La Rioja,63,441,2,448,23,480
12A306,Universidad de Monterrey,71,527,-1,528,-3,540
09M575,Fiji School of Medicine,49,433,-13,425,-47,395
58T146,Wolkite University,50,414,-5,415,39,465
23N521,Universidad Hispanoamericana,43,462,9,475,19,501
55R178,Ecole des Hautes Etudes Commerciales du Nord,29,331,4,344,-6,341
58A638,Ecole Supérieure de Commerce de Paris,44,381,20,408,15,421
04J393,St. Paul University,40,453,-13,444,17,478
70F941,Emily Carr Institute of Art + Design,627,437,-10,432,7,454
63X874,Cameron University,63,351,-14,345,4,362
66S060,Feati University,71,379,10,396,-26,373
74E263,Universidad de La Rioja,71,377,-6,378,7,395
67T547,"Mohammad Ali Jinnah University, Karachi",63,350,2,360,21,387
87R036,"Institute of Architecture ""Ion Mincu"" Bucharest",75,406,-19,393,3,414
35I663,University of Indianapolis,22,349,6,363,24,391
43Z703,Jishou University,81,451,-9,447,58,520
06N678,Hanoi University of Architecture,343,399,-14,392,23,430
43O268,Lipeck State Technical University,10,321,-6,324,0,332
14Z230,Ural State Academy of Law,50,333,23,365,22,381
37L986,Bauman Moscow State Technical University,71,327,-14,322,-21,313
27Z622,Kosin University,92,436,4,445,58,511
13Q077,California Institute of the Arts,50,340,-2,347,-45,308
24U702,"Heythrop College, University of London",18,392,17,416,-45,371
11P859,Universidad Latinoamericana,92,456,1,461,-5,467
21P962,University of Kent at Canterbury,136,409,11,426,-7,422
31S069,Reformed Theological Academy of Debrecen,50,362,9,379,-18,363
82W517,"Islamic Azad University, Mahshar",90,491,22,516,-4,514
86K034,Southwestern Oklahoma State University,40,415,0,421,7,437
99I191,Mahatma Gandhi Kashi Vidyapith ,67,359,-20,347,3,367
23A930,Gdynia Maritime Academy,49,339,-2,346,11,363
95K194,University of Witwatersrand,42,286,3,300,25,327
82V251,Universidad de Castilla La Mancha,1047,360,4,372,23,400
74W555,Asahikawa Medical College,15,365,11,384,54,439
15F120,Qinghai University,54,415,13,434,-33,404
18X869,Pacific College of Oriental Medicine,397,410,3,419,-35,391
12Q863,Cyprus College,32,389,-13,383,-18,380
30Q712,Shaheed Rajaei Teacher Training University,31,505,5,513,16,540
81T273,Harbin Engineering University,32,350,12,370,4,375
85L973,Universidad Nacional Abierta y a Distancia,50,418,17,441,-19,423
69E673,Universidad Mayor de San Simón,397,478,21,503,12,517
04I561,Orissa University of Agriculture and Technology,63,394,-3,398,-21,387
74J515,Jones College,41,465,-7,462,-16,461
64G477,Victoria University,54,317,-15,312,29,352
38C033,Seowon University,343,301,4,315,-12,305
38V834,Universidad Nacional Mayor de San Marcos,92,266,19,297,19,308
67R319,Higher Colleges of Technology,90,379,-5,381,-4,387
52Q700,Posts & Telecommunications Institute of Technology,42,366,-8,366,-49,328
66Q292,Universidad Central del Caribe,31,383,12,402,-32,372
01D631,University of Arkansas (System),22,514,1,517,24,554
03O010,Yamaguchi Prefectural University,14,414,7,427,-4,429
46B054,Mount St. Mary College,1047,454,-20,438,-15,444
64T864,Technological University (Lashio),46,417,-1,422,13,445
19V515,Niger Delta University,50,406,-12,400,16,431
70M824,University of North America,81,365,6,379,-51,332
34H371,Universidad Católica Andres Bello,90,454,-8,450,-2,464
77A484,Instituto Universitario CEMA,31,397,0,404,-96,316
31G447,Vietnam Maritime University,46,497,-2,498,-10,502
61G050,Cumberland University,125,445,-17,433,27,479
90A382,Fayetteville State University,42,432,34,471,-42,422
